Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3
  StreamId;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;4;5;6;7;11;0;1;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;2;4;6;7;11;0;1;2;4;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;0;1;2;6;7;11;0;1;2;4;6;7;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;7224696;72276270;28979818;25520;7224696;7224912;178640;722674920;7224696;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;722674920;7224696;72276270;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640
