Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/5;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3
  StreamId;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;4;5;11;0;1;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;11;0;1;2;4;0;1;2;11;0;1;2;4;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;5822131;11660220;5826019;4180;29260;116524210;5822131;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;116524210;5822131;11660220;29260;116524210;5822131;11660220;5826019;29260
