Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/1;Port 0/0/3;Port 0/0/1;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3
  StreamId;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;3;4;5;0;1;4;0;1;3;4;0;1;3;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;159015780;64536640065;22716540;645354760930;64536405120;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065
